Frequency in Hz	Wool_95 Normalized Surface Impedance continuous Re	Frequency in Hz	Wool_95 Normalized Surface Impedance continuous Im	
1384,375	0,879315853118896	1384,375	-0,616293132305145	
1387,5	0,882735133171082	1387,5	-0,613724589347839	
1390,625	0,8859001994133	1390,625	-0,609347820281982	
1393,75	0,88688999414444	1393,75	-0,605535984039307	
1396,875	0,886514246463776	1396,875	-0,601721167564392	
1400	0,889584243297577	1400	-0,598733901977539	
1403,125	0,889284074306488	1403,125	-0,596041977405548	
1406,25	0,888517439365387	1406,25	-0,59303492307663	
1409,375	0,889235377311707	1409,375	-0,588382959365845	
1412,5	0,892131268978119	1412,5	-0,586283802986145	
1415,625	0,891708016395569	1415,625	-0,582271754741669	
1418,75	0,892104625701904	1418,75	-0,580017566680908	
1421,875	0,894614279270172	1421,875	-0,577316999435425	
1425	0,895776629447937	1425	-0,57562655210495	
1428,125	0,893237352371216	1428,125	-0,570580780506134	
1431,25	0,896287024021149	1431,25	-0,568799674510956	
1434,375	0,897647738456726	1434,375	-0,565434038639069	
1437,5	0,899710536003113	1437,5	-0,559988379478455	
1440,625	0,900568604469299	1440,625	-0,561938345432281	
1443,75	0,897534489631653	1443,75	-0,554269015789032	
1446,875	0,90200674533844	1446,875	-0,55322802066803	
1450	0,902629315853119	1450	-0,549717783927917	
1453,125	0,90370911359787	1453,125	-0,546903610229492	
1456,25	0,903289020061493	1456,25	-0,54337614774704	
1459,375	0,905428051948547	1459,375	-0,541490733623505	
1462,5	0,908170878887177	1462,5	-0,538047790527344	
1465,625	0,907295525074005	1465,625	-0,536310851573944	
1468,75	0,908001005649567	1468,75	-0,532081663608551	
1471,875	0,907824277877808	1471,875	-0,529135048389435	
1475	0,90865433216095	1475	-0,528445780277252	
1478,125	0,909227848052979	1478,125	-0,524958372116089	
1481,25	0,911893665790558	1481,25	-0,522753596305847	
1484,375	0,910646677017212	1484,375	-0,518146693706512	
1487,5	0,908294260501862	1487,5	-0,518078446388245	
1490,625	0,909285724163055	1490,625	-0,514964282512665	
1493,75	0,908959686756134	1493,75	-0,513400971889496	
1496,875	0,910460114479065	1496,875	-0,51377934217453	
1500	0,90803325176239	1500	-0,507089197635651	
1503,125	0,909559190273285	1503,125	-0,503934144973755	
1506,25	0,912109375	1506,25	-0,502411961555481	
1509,375	0,908056557178497	1509,375	-0,498774081468582	
1512,5	0,908419370651245	1512,5	-0,49550649523735	
1515,625	0,90829998254776	1515,625	-0,492387354373932	
1518,75	0,910601496696472	1518,75	-0,488689780235291	
1521,875	0,910742104053497	1521,875	-0,487764626741409	
1525	0,905644714832306	1525	-0,481724858283997	
1528,125	0,910656273365021	1528,125	-0,477826505899429	
1531,25	0,910011291503906	1531,25	-0,475152283906937	
1534,375	0,911882340908051	1534,375	-0,47072097659111	
1537,5	0,909711360931396	1537,5	-0,467711865901947	
1540,625	0,911464750766754	1540,625	-0,465533345937729	
1543,75	0,909604072570801	1543,75	-0,458889812231064	
1546,875	0,91345477104187	1546,875	-0,456889063119888	
1550	0,913085579872131	1550	-0,452709943056107	
1553,125	0,91418194770813	1553,125	-0,451354801654816	
1556,25	0,914905309677124	1556,25	-0,44633224606514	
1559,375	0,915554523468018	1559,375	-0,443881958723068	
1562,5	0,916629493236542	1562,5	-0,440762221813202	
1565,625	0,919593989849091	1565,625	-0,435337424278259	
1568,75	0,917993664741516	1568,75	-0,434206664562225	
1571,875	0,919306218624115	1571,875	-0,430749207735062	
1575	0,921016812324524	1575	-0,429537355899811	
1578,125	0,922491312026978	1578,125	-0,425715923309326	
1581,25	0,921844899654388	1581,25	-0,422286838293076	
1584,375	0,925489783287048	1584,375	-0,420187145471573	
1587,5	0,924387514591217	1587,5	-0,416138112545013	
1590,625	0,92337691783905	1590,625	-0,413139700889587	
1593,75	0,924863517284393	1593,75	-0,409756153821945	
1596,875	0,927481949329376	1596,875	-0,407301127910614	
1600	0,92702043056488	1600	-0,406142830848694	
1603,125	0,92743444442749	1603,125	-0,403714895248413	
1606,25	0,928482711315155	1606,25	-0,400980412960052	
1609,375	0,933369576931	1609,375	-0,396924287080765	
1612,5	0,934131681919098	1612,5	-0,392531126737595	
1615,625	0,933623015880585	1615,625	-0,39141446352005	
1618,75	0,932859063148499	1618,75	-0,39025342464447	
1621,875	0,934788823127747	1621,875	-0,387595057487488	
1625	0,934493720531464	1625	-0,384767889976501	
1628,125	0,937199413776398	1628,125	-0,38383150100708	
1631,25	0,936492562294006	1631,25	-0,379459530115128	
1634,375	0,935947179794312	1634,375	-0,379765212535858	
1637,5	0,936152517795563	1637,5	-0,378131330013275	
1640,625	0,941693365573883	1640,625	-0,374230563640594	
1643,75	0,93725860118866	1643,75	-0,367613017559052	
1646,875	0,939157247543335	1646,875	-0,369059920310974	
1650	0,938124895095825	1650	-0,368364363908768	
1653,125	0,939373672008514	1653,125	-0,365119755268097	
1656,25	0,939300835132599	1656,25	-0,362669944763184	
1659,375	0,940648853778839	1659,375	-0,361348420381546	
1662,5	0,941053926944733	1662,5	-0,359088063240051	
1665,625	0,938432216644287	1665,625	-0,357081264257431	
1668,75	0,939146637916565	1668,75	-0,355967700481415	
1671,875	0,938407897949219	1671,875	-0,353807747364044	
1675	0,938620328903198	1675	-0,34907940030098	
1678,125	0,936058402061462	1678,125	-0,346170604228973	
1681,25	0,937662899494171	1681,25	-0,346215188503265	
1684,375	0,937830805778503	1684,375	-0,338860183954239	
1687,5	0,936865925788879	1687,5	-0,336321622133255	
1690,625	0,937123954296112	1690,625	-0,333579272031784	
1693,75	0,939232230186462	1693,75	-0,330085694789886	
1696,875	0,934565305709839	1696,875	-0,326919347047806	
1700	0,935505390167236	1700	-0,324045151472092	
