Frequency in Hz	Silk_92_LF Sound Reflection Factor continuous Re	Frequency in Hz	Silk_92_HF Sound Reflection Factor continuous Re	Frequency in Hz	Silk_92_LF Sound Reflection Factor continuous Im	Frequency in Hz	Silk_92_HF Sound Reflection Factor continuous Im	
690,625	0,722518682479858	1146,875	0,693631112575531	690,625	-0,1250219643116	1146,875	-0,0126452846452594	
693,75	0,72242146730423	1150	0,693191349506378	693,75	-0,12285340577364	1150	-0,0102763222530484	
696,875	0,721208035945892	1153,125	0,692542672157288	696,875	-0,123084351420403	1153,125	-0,00969878025352955	
700	0,723178744316101	1156,25	0,691237151622772	700	-0,123957186937332	1156,25	-0,00932025909423828	
703,125	0,724656879901886	1159,375	0,691631019115448	703,125	-0,124009072780609	1159,375	-0,0103508485481143	
706,25	0,722499907016754	1162,5	0,690695464611053	706,25	-0,125751480460167	1162,5	-0,0107449637725949	
709,375	0,722974419593811	1165,625	0,689751505851746	709,375	-0,12600414454937	1165,625	-0,0105822859331965	
712,5	0,724894106388092	1168,75	0,692174971103668	712,5	-0,12656968832016	1168,75	-0,0100380778312683	
715,625	0,723190367221832	1171,875	0,691509366035461	715,625	-0,125076502561569	1171,875	-0,0116093484684825	
718,75	0,721096634864807	1175	0,691206932067871	718,75	-0,126117050647736	1175	-0,0090764444321394	
721,875	0,724585950374603	1178,125	0,691957473754883	721,875	-0,126679018139839	1178,125	-0,00903316773474216	
725	0,723479866981506	1181,25	0,690947115421295	725	-0,125604316592216	1181,25	-0,00918758288025856	
728,125	0,722046494483948	1184,375	0,690415501594543	728,125	-0,125908643007278	1184,375	-0,0102157648652792	
731,25	0,724489986896515	1187,5	0,689535439014435	731,25	-0,12668813765049	1187,5	-0,00931288674473763	
734,375	0,723238110542297	1190,625	0,686720490455627	734,375	-0,126049160957336	1190,625	-0,00964333396404982	
737,5	0,723579227924347	1193,75	0,685843527317047	737,5	-0,126065596938133	1193,75	-0,00989127531647682	
740,625	0,723727107048035	1196,875	0,686686396598816	740,625	-0,127283066511154	1196,875	-0,0108039136976004	
743,75	0,723513782024384	1200	0,688686430454254	743,75	-0,126906931400299	1200	-0,010266182012856	
746,875	0,724949836730957	1203,125	0,687088787555695	746,875	-0,126531630754471	1203,125	-0,0105709796771407	
750	0,722361207008362	1206,25	0,687840700149536	750	-0,127934545278549	1206,25	-0,00964737962931395	
753,125	0,721510529518127	1209,375	0,685072898864746	753,125	-0,12689533829689	1209,375	-0,0088548306375742	
756,25	0,721362829208374	1212,5	0,685283064842224	756,25	-0,126578390598297	1212,5	-0,0108014000579715	
